cond,rtt_ms
root,1.54
root,1.55
root,2.07
root,1.46
root,1.44
root,1.66
root,2.21
root,2.37
root,1.61
root,1.89
root,1.86
root,1.83
root,1.85
root,2.21
root,1.85
root,0.772
root,0.990
root,0.922
root,1.36
root,1.26
root,1.04
root,1.29
root,1.17
root,1.41
root,1.34
root,1.42
root,1.48
root,1.63
root,1.18
root,1.49
root,1.90
root,1.52
root,1.56
root,1.73
root,1.83
root,2.02
root,1.78
root,1.83
root,2.20
root,2.02
root,1.15
root,1.64
root,1.52
root,1.24
root,1.53
root,1.11
root,1.48
root,1.73
root,1.55
root,1.48
root,1.77
root,1.45
root,1.46
root,1.76
root,1.55
root,1.39
root,2.01
root,2.29
root,1.72
root,0.915
root,1.16
root,1.23
root,1.03
root,1.03
root,1.42
root,1.70
root,1.20
root,1.72
root,1.69
root,1.44
root,1.87
root,1.69
root,1.61
root,1.60
root,1.67
root,1.37
root,1.67
root,1.82
root,1.66
root,2.09
root,2.06
root,1.95
root,1.94
root,2.01
root,2.02
root,2.22
root,0.808
root,0.766
root,0.792
root,1.23
root,1.01
root,1.31
root,1.05
root,1.18
root,1.09
root,1.27
root,1.21
root,1.42
root,1.82
root,1.56
root,1.43
root,1.25
root,1.70
root,1.82
root,1.72
root,1.72
root,1.84
root,1.52
root,1.33
root,1.63
root,1.90
root,1.67
root,1.71
root,1.76
root,1.92
root,1.57
root,1.76
root,1.54
root,1.77
root,1.60
root,1.60
root,1.89
root,1.77
root,2.08
root,2.32
root,1.56
root,1.84
root,2.24
root,2.26
root,2.01
root,1.32
root,0.890
root,0.890
root,1.14
root,1.65
root,1.37
root,1.33
root,1.30
root,1.50
root,1.44
root,1.53
root,1.58
root,1.54
root,1.56
root,1.79
root,1.42
root,1.33
root,1.68
root,1.65
root,2.17
root,1.64
root,1.69
root,1.67
root,1.61
root,1.97
root,1.64
root,1.75
root,1.59
root,2.27
root,1.87
root,1.28
root,1.61
root,1.31
root,1.52
root,1.67
root,1.38
root,1.79
root,1.66
root,1.76
root,1.72
root,2.13
root,2.29
root,2.06
root,1.68
root,1.17
root,1.24
root,1.34
root,1.56
root,1.58
root,1.86
root,1.55
root,1.51
root,1.46
root,1.97
root,1.75
root,1.63
root,1.81
root,1.35
root,1.78
root,2.21
root,1.03
root,0.876
root,0.806
root,1.47
root,1.38
root,0.996
root,1.16
root,1.34
root,1.40
root,1.06
root,1.82
root,1.65
root,1.40
root,1.05
root,1.82
root,1.51
root,1.72
root,2.13
root,1.96
root,2.17
root,1.62
root,1.77
root,1.55
root,1.62
root,1.72
root,1.45
root,2.00
root,1.68
root,1.30
root,2.05
root,1.29
root,2.03
root,1.95
root,1.49
root,1.47
root,2.26
root,1.38
root,1.06
root,1.29
root,1.31
root,0.987
root,1.45
root,1.49
root,1.31
root,1.70
root,1.63
root,2.06
root,1.28
root,1.38
root,1.88
root,1.81
root,1.90
root,2.38
root,2.39
root,0.973
root,0.988
root,0.868
root,1.21
root,0.957
root,1.29
root,1.29
root,1.05
root,1.00
root,1.88
root,1.13
root,2.00
root,1.66
root,1.79
root,1.14
root,1.59
root,1.44
root,1.28
root,1.53
root,1.68
root,1.29
root,1.41
root,1.93
root,1.58
root,1.99
root,1.64
root,2.07
root,1.42
root,1.87
root,1.28
root,1.79
root,1.06
root,1.32
root,1.28
root,1.63
root,1.63
root,2.02
root,2.21
root,1.70
root,1.53
root,1.11
root,1.60
root,1.41
root,1.29
root,1.48
root,1.19
root,1.80
root,1.33
root,1.74
root,1.98
root,2.19
root,1.60
root,1.71
root,1.26
root,1.19
root,1.84
root,1.89
root,1.59
root,2.04
root,1.31
root,1.99
root,1.40
root,1.81
root,1.91
root,1.25
root,1.44
root,1.90
root,1.34
root,1.78
root,1.77
root,2.40
root,1.47
root,1.74
root,0.972
root,1.77
root,1.48
root,1.45
root,1.46
root,1.23
root,1.70
root,1.60
root,2.33
root,1.51
root,1.83
root,1.69
root,1.82
root,1.80
root,1.81
root,1.57
root,1.65
root,1.87
root,1.62
root,1.45
root,1.90
root,1.96
root,1.56
root,1.84
root,1.55
root,2.12
root,1.90
root,1.54
root,2.23
root,1.59
root,1.05
root,0.985
root,1.18
root,1.66
root,1.64
root,1.86
root,1.75
root,1.90
root,1.70
root,1.56
root,1.34
root,2.03
root,1.50
root,1.79
root,2.06
root,1.61
root,2.46
root,1.81
root,1.89
root,1.52
root,1.97
root,1.22
root,1.74
root,1.76
root,2.09
root,2.42
root,1.00
root,1.82
root,1.52
root,1.70
root,1.61
root,1.52
root,1.52
root,1.51
root,1.80
root,1.45
root,2.00
root,1.85
root,1.76
root,1.77
root,1.52
root,1.62
root,1.12
root,0.836
root,1.38
root,1.20
